,Sex,Smoker
0,female,yes
1,male,no
2,male,no
3,male,no
4,male,no
5,female,no
6,female,no
7,female,no
8,male,no
9,female,no
10,male,no
11,female,yes
12,male,no
13,female,no
14,male,yes
15,male,no
16,female,no
17,male,no
18,male,no
19,male,yes
20,female,no
21,female,no
22,male,no
23,female,yes
24,male,no
25,female,no
26,female,no
27,female,no
28,male,no
29,male,yes
30,male,yes
31,female,no
32,female,no
33,male,no
34,male,yes
35,male,no
36,female,no
37,male,no
38,male,yes
39,male,yes
40,female,no
41,female,no
42,male,no
43,female,no
44,male,no
45,male,no
46,female,no
47,female,no
48,female,no
49,male,yes
50,female,no
51,female,no
52,male,yes
53,male,yes
54,female,no
55,male,yes
56,female,no
57,male,yes
58,female,yes
59,female,no
60,male,no
61,male,no
62,male,no
63,female,no
64,female,yes
65,female,no
66,female,no
67,male,no
68,female,no
69,male,yes
70,female,yes
71,male,no
72,female,no
73,male,no
74,male,no
75,male,no
76,female,no
77,male,no
78,female,no
79,female,no
80,male,no
81,female,no
82,male,yes
83,female,no
84,female,yes
85,male,yes
86,female,yes
87,female,no
88,female,no
89,female,no
90,female,no
91,female,no
92,male,yes
93,male,no
94,female,yes
95,female,no
96,female,no
97,male,no
98,male,yes
99,male,yes
100,female,no
101,male,no
102,female,no
103,female,yes
104,female,no
105,male,yes
106,female,no
107,male,no
108,male,no
109,male,yes
110,male,no
111,female,no
112,male,no
113,female,no
114,male,no
115,male,no
116,male,no
117,female,yes
118,female,no
119,female,no
120,male,no
121,male,no
122,female,no
123,male,yes
124,female,no
125,female,no
126,female,yes
127,female,no
128,female,yes
129,male,no
130,female,no
131,female,no
132,female,no
133,male,no
134,female,no
135,female,no
136,male,no
137,male,no
138,female,no
139,female,no
140,male,no
141,male,no
142,male,yes
143,male,no
144,male,yes
145,female,no
146,male,yes
147,female,no
148,female,no
149,male,no
150,male,no
151,male,no
152,female,no
153,female,yes
154,female,no
155,male,no
156,male,yes
157,male,yes
158,male,yes
159,female,no
160,female,yes
161,female,yes
162,male,no
163,female,no
164,male,no
165,male,no
166,female,no
167,female,no
168,female,no
169,male,no
170,male,no
171,male,no
172,male,no
173,female,no
174,female,no
175,female,yes
176,male,no
177,male,no
178,female,no
179,female,no
180,male,no
181,female,no
182,male,no
183,female,no
184,male,no
185,male,yes
186,female,no
187,female,no
188,female,no
189,female,no
190,male,no
191,female,no
192,male,no
193,female,no
194,male,no
195,male,no
196,female,no
197,female,no
198,female,no
199,female,no
200,female,no
201,female,no
202,female,no
203,female,yes
204,male,no
205,female,no
206,male,no
207,male,yes
208,female,no
209,male,no
210,male,no
211,male,no
212,male,no
213,female,no
214,female,no
215,female,no
216,female,no
217,male,no
218,female,no
219,female,no
220,female,no
221,female,no
222,male,no
223,male,yes
224,male,yes
225,male,no
226,male,no
227,female,no
228,female,no
229,male,no
230,female,no
231,female,no
232,female,no
233,male,no
234,male,no
235,female,yes
236,female,no
237,male,no
238,male,yes
239,male,no
240,female,yes
241,female,no
242,female,no
243,male,no
244,female,yes
245,male,no
246,female,no
247,male,no
248,male,no
249,male,no
250,male,yes
251,female,yes
252,male,yes
253,male,no
254,male,yes
255,female,no
256,male,yes
257,female,no
258,male,no
259,male,yes
260,female,no
261,female,yes
262,male,yes
263,male,yes
264,female,no
265,male,yes
266,male,yes
267,female,no
268,male,no
269,male,no
270,male,no
271,male,yes
272,male,no
273,male,no
274,male,no
275,female,no
276,male,no
277,female,no
278,male,no
279,female,no
280,female,yes
281,male,yes
282,male,no
283,female,no
284,female,no
285,male,no
286,female,no
287,female,no
288,female,yes
289,male,no
290,female,no
291,male,no
292,male,yes
293,female,no
294,male,no
295,male,no
296,male,yes
297,male,yes
298,male,yes
299,female,no
300,male,no
301,female,yes
302,female,no
303,female,no
304,female,no
305,male,no
306,female,no
307,female,no
308,male,no
309,female,no
310,male,no
311,female,no
312,male,yes
313,male,no
314,female,yes
315,male,no
316,male,no
317,male,no
318,female,no
319,male,no
320,male,no
321,female,no
322,male,yes
323,male,no
324,male,no
325,male,no
326,female,no
327,male,yes
328,female,yes
329,male,no
330,female,yes
331,male,yes
332,female,no
333,female,no
334,female,no
335,male,no
336,male,no
337,male,no
338,male,yes
339,female,no
340,female,no
341,male,no
342,female,no
343,male,no
344,female,no
345,female,no
346,male,no
347,male,no
348,female,no
349,male,no
350,female,no
351,female,no
352,female,no
353,male,no
354,female,no
355,male,no
356,male,no
357,male,no
358,male,no
359,female,no
360,female,no
361,male,no
362,female,yes
363,female,no
364,female,no
365,female,no
366,female,no
367,female,no
368,male,no
369,male,no
370,female,no
371,female,no
372,female,no
373,male,yes
374,male,no
375,female,yes
376,female,yes
377,male,yes
378,female,no
379,male,no
380,female,yes
381,male,yes
382,male,no
383,female,no
384,male,no
385,male,no
386,female,no
387,male,no
388,female,no
389,female,no
390,male,no
391,female,no
392,male,no
393,male,no
394,female,no
395,male,no
396,female,no
397,male,no
398,male,no
399,female,no
400,female,no
401,male,no
402,female,no
403,male,no
404,male,no
405,female,no
406,female,no
407,female,no
408,male,no
409,male,no
410,male,no
411,female,yes
412,female,yes
413,male,no
414,female,no
415,female,no
416,male,no
417,female,yes
418,male,no
419,female,yes
420,male,yes
421,male,yes
422,male,yes
423,male,no
424,male,no
425,male,no
426,female,no
427,female,no
428,female,no
429,female,no
430,male,no
431,female,no
432,male,no
433,female,no
434,male,no
435,male,no
436,male,no
437,male,no
438,female,no
439,male,no
440,female,no
441,female,yes
442,male,no
443,female,no
444,male,yes
445,female,no
446,male,no
447,female,no
448,female,no
449,male,no
450,male,no
451,male,no
452,male,no
453,male,no
454,male,no
455,male,no
456,female,no
457,female,no
458,male,no
459,female,no
460,female,no
461,male,yes
462,female,no
463,male,no
464,male,no
465,female,yes
466,female,no
467,female,no
468,female,no
469,female,no
470,male,no
471,female,no
472,female,no
473,female,no
474,male,yes
475,male,yes
476,male,yes
477,male,no
478,male,no
479,male,no
480,male,no
481,male,no
482,female,no
483,female,no
484,male,no
485,female,no
486,female,no
487,male,no
488,female,yes
489,male,no
490,female,no
491,female,no
492,female,no
493,male,no
494,male,yes
495,male,no
496,female,no
497,male,no
498,female,no
499,female,no
500,male,yes
501,male,no
502,male,yes
503,male,yes
504,female,no
505,male,no
506,male,no
507,male,no
508,female,no
509,female,no
510,male,no
511,male,no
512,male,no
513,male,no
514,male,yes
515,male,no
516,male,no
517,male,no
518,female,no
519,male,no
520,female,no
521,female,no
522,female,no
523,female,no
524,male,yes
525,female,no
526,female,no
527,female,no
528,male,no
529,male,no
530,male,yes
531,female,no
532,male,no
533,male,no
534,male,no
535,male,no
536,female,no
537,female,no
538,female,no
539,male,no
540,female,no
541,female,no
542,female,no
543,female,yes
544,male,no
545,male,yes
546,male,no
547,female,no
548,female,no
549,female,yes
550,male,no
551,female,no
552,male,no
553,female,no
554,female,no
555,male,no
556,male,no
557,male,no
558,female,yes
559,male,no
560,female,no
561,female,no
562,male,no
563,male,no
564,female,no
565,female,no
566,female,no
567,male,no
568,female,no
569,male,yes
570,female,no
571,female,no
572,female,no
573,female,no
574,female,no
575,female,no
576,male,no
577,female,yes
578,male,no
579,female,no
580,male,no
581,male,no
582,male,no
583,female,no
584,male,no
585,female,no
586,male,no
587,female,yes
588,female,no
589,female,no
590,female,no
591,male,no
592,male,no
593,female,yes
594,male,no
595,female,no
596,female,no
597,female,no
598,male,no
599,female,no
600,female,no
601,male,no
602,female,no
603,female,no
604,female,yes
605,female,no
606,female,no
607,female,yes
608,male,no
609,male,yes
610,female,no
611,female,no
612,female,no
613,female,no
614,female,no
615,female,yes
616,female,no
617,male,yes
618,female,yes
619,female,no
620,male,no
621,male,yes
622,female,no
623,male,yes
624,male,no
625,female,no
626,male,no
627,male,no
628,male,no
629,female,yes
630,male,no
631,male,no
632,female,no
633,male,no
634,male,no
635,male,no
636,female,no
637,female,no
638,male,yes
639,male,no
640,male,no
641,male,yes
642,male,no
643,female,no
644,male,no
645,male,no
646,male,no
647,female,no
648,male,no
649,female,no
650,female,no
651,female,no
652,female,no
653,female,no
654,female,no
655,female,yes
656,female,no
657,male,no
658,female,no
659,female,no
660,male,no
661,female,no
662,female,no
663,male,no
664,female,yes
665,male,yes
666,male,no
667,female,yes
668,male,yes
669,female,no
670,male,no
671,female,no
672,male,no
673,female,no
674,female,yes
675,male,no
676,female,no
677,male,yes
678,male,no
679,female,no
680,female,no
681,male,no
682,male,yes
683,male,no
684,female,no
685,male,no
686,male,no
687,male,no
688,female,no
689,male,yes
690,male,no
691,male,no
692,male,no
693,male,no
694,female,no
695,female,no
696,female,no
697,male,yes
698,male,no
699,female,no
700,female,no
701,female,no
702,male,no
703,female,no
704,female,no
705,female,no
706,female,yes
707,male,no
708,female,no
709,female,no
710,male,no
711,female,no
712,female,no
713,male,no
714,female,no
715,male,no
716,female,no
717,male,no
718,female,no
719,female,no
720,female,no
721,male,no
722,male,no
723,male,no
724,female,no
725,female,yes
726,male,no
727,female,yes
728,female,no
729,female,no
730,male,yes
731,male,no
732,female,no
733,female,no
734,female,no
735,female,no
736,female,yes
737,male,no
738,male,yes
739,male,yes
740,male,no
741,male,yes
742,male,yes
743,female,no
744,male,no
745,female,no
746,male,no
747,male,no
748,female,no
749,male,no
750,female,yes
751,male,no
752,male,no
753,female,no
754,male,no
755,male,no
756,female,no
757,female,yes
758,male,no
759,male,yes
760,female,no
761,male,no
762,male,yes
763,male,no
764,female,no
765,female,no
766,male,no
767,female,no
768,female,no
769,female,no
770,male,no
771,female,no
772,female,no
773,female,yes
774,male,no
775,male,no
776,male,no
777,male,no
778,male,no
779,male,no
780,male,yes
781,male,no
782,male,no
783,female,yes
784,female,no
785,female,no
786,male,no
787,male,no
788,male,no
789,female,no
790,female,no
791,male,no
792,female,no
793,male,yes
794,female,no
795,male,yes
796,male,no
797,female,no
798,female,no
799,male,yes
800,female,no
801,female,no
802,male,no
803,female,yes
804,male,no
805,female,no
806,female,no
807,female,no
808,male,no
809,male,no
810,female,no
811,female,no
812,male,no
813,male,no
814,male,no
815,female,no
816,female,no
817,male,no
818,female,yes
819,female,yes
820,male,no
821,male,no
822,female,no
823,female,no
824,male,no
825,female,no
826,male,yes
827,male,yes
828,male,yes
829,male,no
830,male,no
831,female,no
832,female,no
833,male,no
834,male,no
835,male,no
836,male,no
837,female,no
838,female,no
839,female,no
840,male,no
841,male,no
842,female,yes
843,female,yes
844,male,no
845,female,yes
846,female,no
847,male,no
848,female,no
849,male,no
850,female,yes
851,male,no
852,female,yes
853,female,no
854,female,yes
855,female,no
856,female,yes
857,male,yes
858,female,no
859,male,no
860,female,yes
861,female,no
862,female,no
863,female,no
864,male,no
865,male,no
866,male,no
867,male,no
868,male,no
869,female,no
870,male,no
871,female,no
872,male,no
873,male,no
874,male,no
875,female,no
876,female,no
877,male,no
878,male,no
879,female,no
880,male,no
881,male,no
882,female,no
883,female,yes
884,male,no
885,male,yes
886,male,yes
887,female,no
888,male,no
889,male,no
890,female,yes
891,female,no
892,male,no
893,male,yes
894,male,no
895,female,no
896,female,yes
897,male,no
898,female,no
899,female,no
900,male,no
901,male,yes
902,male,no
903,male,no
904,female,no
905,female,no
906,male,no
907,female,no
908,male,no
909,female,yes
910,male,no
911,male,yes
912,female,no
913,female,no
914,male,no
915,female,no
916,female,yes
917,male,yes
918,female,no
919,female,no
920,female,no
921,female,no
922,male,no
923,male,no
924,male,no
925,male,no
926,female,no
927,female,no
928,female,no
929,male,no
930,male,no
931,female,no
932,male,no
933,female,no
934,male,no
935,female,no
936,male,no
937,female,no
938,male,no
939,male,no
940,male,no
941,female,no
942,female,no
943,male,no
944,male,no
945,female,no
946,male,no
947,male,yes
948,male,no
949,male,yes
950,male,no
951,male,yes
952,female,no
953,male,yes
954,male,yes
955,male,no
956,male,yes
957,male,no
958,male,yes
959,male,no
960,female,no
961,female,no
962,female,no
963,male,no
964,male,no
965,male,no
966,male,yes
967,male,no
968,male,no
969,female,no
970,female,no
971,female,no
972,female,no
973,female,no
974,male,no
975,male,yes
976,male,no
977,male,no
978,female,no
979,female,no
980,male,no
981,male,no
982,male,yes
983,female,no
984,male,no
985,female,no
986,male,no
987,female,no
988,male,no
989,female,yes
990,female,no
991,female,no
992,female,no
993,male,no
994,female,yes
995,female,no
996,female,no
997,female,no
998,female,no
999,female,no
1000,male,yes
1001,male,yes
1002,male,no
1003,male,no
1004,male,no
1005,male,no
1006,male,no
1007,male,yes
1008,male,no
1009,male,no
1010,female,no
1011,male,yes
1012,female,no
1013,male,no
1014,female,no
1015,male,no
1016,female,no
1017,female,no
1018,female,no
1019,female,no
1020,male,no
1021,female,yes
1022,male,yes
1023,male,no
1024,female,no
1025,female,no
1026,male,yes
1027,male,no
1028,male,no
1029,female,no
1030,female,yes
1031,female,yes
1032,female,no
1033,male,yes
1034,male,no
1035,female,no
1036,male,yes
1037,female,yes
1038,male,no
1039,male,no
1040,female,yes
1041,male,no
1042,male,yes
1043,female,no
1044,male,no
1045,female,yes
1046,female,no
1047,male,yes
1048,female,no
1049,male,yes
1050,female,no
1051,male,no
1052,male,no
1053,male,yes
1054,female,no
1055,male,no
1056,female,no
1057,female,no
1058,female,no
1059,male,no
1060,male,no
1061,male,no
1062,male,yes
1063,male,no
1064,female,no
1065,female,no
1066,male,no
1067,male,no
1068,male,no
1069,female,no
1070,male,yes
1071,male,no
1072,male,no
1073,female,no
1074,female,no
1075,female,no
1076,female,no
1077,male,no
1078,male,yes
1079,male,no
1080,male,no
1081,male,no
1082,male,no
1083,male,no
1084,female,no
1085,female,yes
1086,male,no
1087,male,no
1088,male,no
1089,male,no
1090,male,yes
1091,female,no
1092,male,no
1093,female,yes
1094,female,no
1095,female,no
1096,female,yes
1097,male,no
1098,female,no
1099,female,no
1100,female,yes
1101,male,no
1102,male,no
1103,male,no
1104,male,no
1105,female,no
1106,female,no
1107,female,no
1108,male,no
1109,male,no
1110,female,no
1111,male,yes
1112,female,yes
1113,female,no
1114,male,no
1115,male,no
1116,male,no
1117,male,yes
1118,male,yes
1119,female,no
1120,female,yes
1121,male,no
1122,female,yes
1123,female,no
1124,female,yes
1125,female,no
1126,male,no
1127,female,no
1128,male,no
1129,female,no
1130,female,no
1131,male,no
1132,male,no
1133,female,no
1134,male,no
1135,female,no
1136,female,no
1137,female,no
1138,male,no
1139,female,yes
1140,male,no
1141,female,no
1142,female,no
1143,male,no
1144,male,no
1145,male,no
1146,male,yes
1147,female,no
1148,male,no
1149,male,no
1150,female,no
1151,female,no
1152,female,yes
1153,female,no
1154,female,no
1155,female,no
1156,male,yes
1157,female,no
1158,female,no
1159,female,no
1160,female,no
1161,male,no
1162,male,no
1163,female,no
1164,female,no
1165,female,no
1166,male,no
1167,female,no
1168,male,no
1169,female,no
1170,male,yes
1171,female,yes
1172,female,no
1173,male,no
1174,male,no
1175,female,no
1176,female,yes
1177,female,no
1178,female,no
1179,male,yes
1180,female,no
1181,female,no
1182,female,no
1183,female,no
1184,female,yes
1185,male,no
1186,male,yes
1187,female,no
1188,female,yes
1189,female,no
1190,female,no
1191,female,no
1192,female,no
1193,female,no
1194,female,no
1195,female,no
1196,female,yes
1197,male,no
1198,male,no
1199,female,no
1200,male,no
1201,male,no
1202,male,no
1203,male,no
1204,female,yes
1205,male,no
1206,female,no
1207,male,yes
1208,female,yes
1209,male,no
1210,male,no
1211,male,no
1212,male,no
1213,female,no
1214,female,no
1215,male,no
1216,male,no
1217,male,no
1218,female,yes
1219,female,no
1220,female,no
1221,male,no
1222,male,no
1223,female,yes
1224,male,no
1225,female,no
1226,male,no
1227,male,no
1228,male,no
1229,male,no
1230,male,yes
1231,female,yes
1232,female,no
1233,male,no
1234,female,no
1235,male,no
1236,female,no
1237,female,no
1238,male,no
1239,female,no
1240,male,yes
1241,male,yes
1242,female,no
1243,female,no
1244,male,no
1245,male,no
1246,female,no
1247,male,no
1248,female,no
1249,male,yes
1250,male,yes
1251,male,no
1252,male,yes
1253,female,no
1254,female,no
1255,female,no
1256,female,no
1257,female,no
1258,male,no
1259,female,no
1260,female,no
1261,male,no
1262,female,no
1263,female,no
1264,female,no
1265,male,yes
1266,female,no
1267,male,yes
1268,female,no
1269,male,no
1270,male,no
1271,female,no
1272,male,no
1273,male,no
1274,male,yes
1275,male,no
1276,female,no
1277,female,no
1278,male,yes
1279,female,no
1280,female,no
1281,female,yes
1282,female,yes
1283,male,no
1284,male,yes
1285,female,no
1286,female,no
1287,female,no
1288,male,yes
1289,male,no
1290,female,no
1291,male,yes
1292,male,no
1293,male,no
1294,male,no
1295,male,no
1296,male,no
1297,female,no
1298,male,no
1299,female,no
1300,male,yes
1301,male,yes
1302,female,no
1303,male,yes
1304,male,yes
1305,female,no
1306,female,yes
1307,male,yes
1308,female,yes
1309,male,no
1310,male,no
1311,female,no
1312,male,no
1313,female,yes
1314,female,yes
1315,male,no
1316,female,no
1317,male,no
1318,male,no
1319,female,no
1320,male,no
1321,male,yes
1322,male,no
1323,female,yes
1324,male,no
1325,male,no
1326,female,no
1327,male,no
1328,female,no
1329,male,no
1330,female,no
1331,female,no
1332,female,no
1333,male,no
1334,female,no
1335,female,no
1336,female,no
1337,female,yes
